flag,deal_date,pk_class,sys,boss_id,geek_id,job_id,page,rank,list_time,deal_type,deal_time,app_active,chat,chat_read,detail_boss,list_boss,list_notify,msg_return,boss_days,job_days,geek_days
0,2015-12-27,bdp_java,Android,266335,3291754,258565,1,5,2015-12-27 13:15:24,det,2015-12-27 13:14:28,66,98,355,148,72,45,2,140.0,30.0,45.0
0,2015-12-27,bdp_java,Android,266335,4380358,258565,1,12,2015-12-27 13:15:24,det,2015-12-27 13:14:58,23,18,63,38,25,15,0,140.0,30.0,3.0
0,2015-12-27,bdp_java,Android,266335,4380358,258565,1,12,2015-12-27 13:15:24,det,2015-12-27 13:15:07,23,18,63,38,25,15,0,140.0,30.0,3.0
0,2015-12-27,bdp_java,Android,298483,249108,179417,2,24,2015-12-27 22:26:19,addf,2015-12-27 22:27:48,4,0,6,3,3,0,0,130.0,69.0,145.0
0,2015-12-27,bdp_java,Android,298483,249108,179417,2,24,2015-12-27 22:26:19,det,2015-12-27 22:26:29,4,0,6,3,3,0,0,130.0,69.0,145.0
0,2015-12-27,bdp_java,Android,298483,3475028,179417,2,27,2015-12-27 22:26:19,det,2015-12-27 22:28:47,0,0,0,0,0,0,0,130.0,69.0,39.0
0,2015-12-27,bdp_java,Android,298483,3475030,179417,3,36,2015-12-27 22:28:52,det,2015-12-27 22:29:24,43,14,31,7,3,7,12,130.0,69.0,39.0
0,2015-12-27,bdp_java,Android,298483,3671494,179417,3,40,2015-12-27 22:28:52,addf,2015-12-27 22:29:56,14,0,11,38,20,8,6,130.0,69.0,31.0
0,2015-12-27,bdp_java,Android,298483,3671494,179417,3,40,2015-12-27 22:28:52,det,2015-12-27 22:29:49,14,0,11,38,20,8,6,130.0,69.0,31.0
0,2015-12-27,bdp_java,Android,298483,3757365,179417,5,75,2015-12-27 22:34:49,det,2015-12-27 22:33:42,14,2,4,5,4,1,0,130.0,69.0,27.0
0,2015-12-27,bdp_java,Android,298483,4332048,179417,1,15,2015-12-27 21:22:55,det,2015-12-27 21:36:48,19,0,10,19,1,3,0,130.0,69.0,5.0
0,2015-12-27,bdp_java,Android,298483,4354327,179417,3,39,2015-12-27 22:28:52,det,2015-12-27 22:29:41,6,0,7,9,7,3,0,130.0,69.0,4.0
0,2015-12-27,bdp_java,Android,298483,4354905,179417,3,34,2015-12-27 22:28:52,addf,2015-12-27 22:29:09,11,2,17,5,1,0,0,130.0,69.0,4.0
0,2015-12-27,bdp_java,Android,298483,4354905,179417,3,34,2015-12-27 22:28:52,det,2015-12-27 22:29:09,11,2,17,5,1,0,0,130.0,69.0,4.0
0,2015-12-27,bdp_java,Android,31271,1504403,76359,1,11,2015-12-27 18:13:16,det,2015-12-27 19:02:59,11,2,5,10,20,6,3,297.0,139.0,87.0
0,2015-12-27,bdp_java,Android,31271,1603237,76359,1,3,2015-12-27 18:13:16,addf,2015-12-27 18:56:12,13,0,6,4,11,1,0,297.0,139.0,74.0
0,2015-12-27,bdp_java,Android,31271,1603237,76359,1,3,2015-12-27 18:13:16,det,2015-12-27 18:55:42,13,0,6,4,11,1,0,297.0,139.0,74.0
0,2015-12-27,bdp_java,Android,31271,1603237,76359,1,3,2015-12-27 18:13:16,det,2015-12-27 19:01:32,13,0,6,4,11,1,0,297.0,139.0,74.0
0,2015-12-27,bdp_java,Android,31271,1703271,76359,2,28,2015-12-27 19:01:55,det,2015-12-27 19:06:13,1,12,12,5,5,9,8,297.0,139.0,60.0
0,2015-12-27,bdp_java,Android,31271,202637,76359,1,10,2015-12-27 18:13:16,addf,2015-12-27 18:58:46,15,31,65,19,16,7,5,297.0,139.0,155.0
0,2015-12-27,bdp_java,Android,31271,202637,76359,1,10,2015-12-27 18:13:16,chat,2015-12-27 22:03:37,18,33,70,19,19,9,6,297.0,139.0,155.0
0,2015-12-27,bdp_java,Android,31271,202637,76359,1,10,2015-12-27 18:13:16,det,2015-12-27 18:58:32,15,31,65,19,16,7,5,297.0,139.0,155.0
0,2015-12-27,bdp_java,Android,31271,3291754,76359,1,2,2015-12-27 18:13:16,det,2015-12-27 18:55:18,101,126,435,176,93,52,7,297.0,139.0,45.0
0,2015-12-27,bdp_java,Android,31271,3291754,76359,1,2,2015-12-27 18:13:16,det,2015-12-27 18:55:28,101,126,435,176,93,52,7,297.0,139.0,45.0
0,2015-12-27,bdp_java,Android,31271,3454391,76359,2,20,2015-12-27 19:01:55,det,2015-12-27 19:03:30,21,12,85,35,22,9,15,297.0,139.0,40.0
0,2015-12-27,bdp_java,Android,31271,362048,76359,1,4,2015-12-27 18:13:16,det,2015-12-27 18:56:31,30,29,36,18,5,0,15,297.0,139.0,118.0
0,2015-12-27,bdp_java,Android,31271,3632081,76359,1,6,2015-12-27 18:13:16,det,2015-12-27 18:57:43,9,0,6,14,14,2,2,297.0,139.0,33.0
0,2015-12-27,bdp_java,Android,31271,3675124,76359,2,30,2015-12-27 19:01:55,det,2015-12-27 19:06:50,1,0,0,1,5,2,1,297.0,139.0,31.0
0,2015-12-27,bdp_java,Android,31271,3713234,76359,1,1,2015-12-27 18:13:16,det,2015-12-27 18:54:08,6,0,15,0,4,0,0,297.0,139.0,29.0
0,2015-12-27,bdp_java,Android,31271,4014358,76359,2,27,2015-12-27 19:01:55,det,2015-12-27 19:04:57,9,2,16,12,26,10,7,297.0,139.0,16.0
0,2015-12-27,bdp_java,Android,31271,4081785,76359,1,5,2015-12-27 18:13:16,addf,2015-12-27 18:57:32,158,68,154,130,39,49,25,297.0,139.0,13.0
0,2015-12-27,bdp_java,Android,31271,4081785,76359,1,5,2015-12-27 18:13:16,chat,2015-12-27 19:32:04,160,69,156,133,39,49,26,297.0,139.0,13.0
0,2015-12-27,bdp_java,Android,31271,4081785,76359,1,5,2015-12-27 18:13:16,det,2015-12-27 18:56:14,158,68,154,130,39,49,25,297.0,139.0,13.0
0,2015-12-27,bdp_java,Android,31271,4081785,76359,1,5,2015-12-27 18:13:16,det,2015-12-27 18:56:31,158,68,154,130,39,49,25,297.0,139.0,13.0
